64221	-1.28		time (s)	Force (N)	Interval sum			
64316	-1.26		64.221	-0.0125568		Impulse:	Stated impulse:	% diff:
64411	-1.28		64.316	-0.0123606	-0.001183576	28.00263828	30	-6.657872399
64507	-1.26		64.411	-0.0125568	-0.001183576			
64603	-1.25		64.507	-0.0123606	-0.001196035			
64698	-1.23		64.603	-0.0122625	-0.001181909			
64794	-1.19		64.698	-0.0120663	-0.001155618			
64889	-1.19		64.794	-0.0116739	-0.00113953			
64986	-1.19		64.889	-0.0116739	-0.00110902			
65081	-1.2		64.986	-0.0116739	-0.001132368			
65176	-1.21		65.081	-0.011772	-0.00111368			
65272	-1.2		65.176	-0.0118701	-0.001123			
65368	-1.19		65.272	-0.011772	-0.001134821			
65463	-1.21		65.368	-0.0116739	-0.001125403			
65559	-1.25		65.463	-0.0118701	-0.00111834			
65654	-1.26		65.559	-0.0122625	-0.001158365			
65750	-1.26		65.654	-0.0123606	-0.001169597			
65846	-1.26		65.75	-0.0123606	-0.001186618			
65941	-1.27		65.846	-0.0123606	-0.001186618			
66036	-1.29		65.941	-0.0124587	-0.001178917			
66132	-1.29		66.036	-0.0126549	-0.001192896			
66228	-1.3		66.132	-0.0126549	-0.00121487			
66324	-1.34		66.228	-0.012753	-0.001219579			
66419	-1.34		66.324	-0.0131454	-0.001243123			
66514	-1.34		66.419	-0.0131454	-0.001248813			
66611	-1.34		66.514	-0.0131454	-0.001248813			
66706	-1.33		66.611	-0.0131454	-0.001275104			
66801	-1.3		66.706	-0.0130473	-0.001244153			
66897	-1.28		66.801	-0.012753	-0.001225514			
66993	-1.3		66.897	-0.0125568	-0.00121487			
67088	-1.32		66.993	-0.012753	-0.00121487			
67184	-1.32		67.088	-0.0129492	-0.001220854			
67279	-1.3		67.184	-0.0129492	-0.001243123			
67375	-1.3		67.279	-0.012753	-0.001220854			
67471	-1.29		67.375	-0.012753	-0.001224288			
67566	-1.3		67.471	-0.0126549	-0.001219579			
67662	-1.32		67.566	-0.012753	-0.001206875			
67758	-1.31		67.662	-0.0129492	-0.001233706			
67853	-1.3		67.758	-0.0128511	-0.001238414			
67949	-1.31		67.853	-0.012753	-0.001216195			
68044	-1.32		67.949	-0.0128511	-0.001228997			
68140	-1.35		68.044	-0.0129492	-0.001225514			
68236	-1.39		68.14	-0.0132435	-0.00125725			
68331	-1.41		68.236	-0.0136359	-0.001290211			
68426	-1.43		68.331	-0.0138321	-0.00130473			
68523	-1.46		68.426	-0.0140283	-0.001323369			
68618	-1.47		68.523	-0.0143226	-0.001375019			
68713	-1.47		68.618	-0.0144207	-0.001365307			
68809	-1.47		68.713	-0.0144207	-0.001369966			
68904	-1.46		68.809	-0.0144207	-0.001384387			
69001	-1.49		68.904	-0.0143226	-0.001365307			
69096	-1.49		69.001	-0.0146169	-0.001403566			
69191	-1.5		69.096	-0.0146169	-0.001388605			
69287	-1.49		69.191	-0.014715	-0.001393265			
69383	-1.49		69.287	-0.0146169	-0.001407931			
69478	-1.49		69.383	-0.0146169	-0.001403222			
69574	-1.5		69.478	-0.0146169	-0.001388605			
69669	-1.49		69.574	-0.014715	-0.001407931			
69765	-1.46		69.669	-0.0146169	-0.001393265			
69861	-1.44		69.765	-0.0143226	-0.001389096			
69956	-1.43		69.861	-0.0141264	-0.001365552			
70051	-1.41		69.956	-0.0140283	-0.001337348			
70148	-1.39		70.051	-0.0138321	-0.001323369			
70243	-1.37		70.148	-0.0136359	-0.001332198			
70339	-1.35		70.243	-0.0134397	-0.001286091			
70434	-1.35		70.339	-0.0132435	-0.001280794			
70530	-1.35		70.434	-0.0132435	-0.001258132			
70626	-1.35		70.53	-0.0132435	-0.001271376			
70721	-1.32		70.626	-0.0132435	-0.001271376			
70816	-1.28		70.721	-0.0129492	-0.001244153			
70913	-1.28		70.816	-0.0125568	-0.001211535			
71008	-1.28		70.913	-0.0125568	-0.00121801			
71103	-1.28		71.008	-0.0125568	-0.001192896			
71199	-1.3		71.103	-0.0125568	-0.001192896			
71294	-1.32		71.199	-0.012753	-0.00121487			
71390	-1.33		71.294	-0.0129492	-0.001220854			
71486	-1.33		71.39	-0.0130473	-0.001247832			
71581	-1.29		71.486	-0.0130473	-0.001252541			
71677	-0.94		71.581	-0.0126549	-0.001220854			
71773	0.45		71.677	-0.0092214	-0.001050062			
71868	3.75		71.773	0.0044145	-0.000230731			
71964	22.34		71.868	0.0367875	0.001957095			
72059	92.71		71.964	0.2191554	0.012285259			
72155	233.5		72.059	0.9094851	0.053610424			
72251	331.13		72.155	2.290635	0.153605765			
72346	412.92		72.251	3.2483853	0.265872974			
72441	489.61		72.346	4.0507452	0.346708699			
72538	563.01		72.441	4.8030741	0.420556417			
72633	634.64		72.538	5.5231281	0.500820807			
72728	704.83		72.633	6.2258184	0.558074959			
72824	773.79		72.728	6.9143823	0.624159533			
72920	842.55		72.824	7.5908799	0.696252586			
73015	910.37		72.92	8.2654155	0.761102179			
73111	976.67		73.015	8.9307297	0.816816897			
73206	1041.96		73.111	9.5811327	0.888569395			
73303	1105.19		73.206	10.2216276	0.940631114			
73398	1165.42		73.303	10.8419139	1.021581763			
73493	1209.98		73.398	11.4327702	1.058047495			
73589	1209.98		73.493	11.8699038	1.106877015			
73684	1201.84		73.589	11.8699038	1.139510765			
73780	1122.52		73.684	11.7900504	1.123847824			
73876	1086.26		73.78	11.0119212	1.094494637			
73971	1065.19		73.876	10.6562106	1.040070326			
74066	1048.73		73.971	10.4495139	1.002521914			
74163	1035.38		74.066	10.2880413	0.985033872			
74258	1023.24		74.163	10.1570778	0.991588276			
74353	1011.93		74.258	10.0379844	0.959265454			
74449	998.75		74.353	9.9270333	0.948338341			
74545	958.88		74.449	9.7977375	0.946788998			
74640	894.1		74.545	9.4066128	0.921808814			
74736	827.66		74.64	8.771121	0.863442355			
74831	761.75		74.736	8.1193446	0.810742349			
74928	696.75		74.831	7.4727675	0.740625325			
75023	632.66		74.928	6.8351175	0.693932422			
75118	568.84		75.023	6.2063946	0.619471825			
75214	505.92		75.118	5.5803204	0.559868962			
75310	443.72		75.214	4.9630752	0.506082989			
75405	381.64		75.31	4.3528932	0.447166483			
75501	320.2		75.405	3.7438884	0.384597126			
75596	259.19		75.501	3.141162	0.330482419			
75692	198.34		75.596	2.5426539	0.269981255			
75788	138.07		75.692	1.9457154	0.215441726			
75883	78.43		75.788	1.3544667	0.158408741			
75978	21.89		75.883	0.7693983	0.100883587			
76075	-7.77		75.978	0.2147409	0.046746612			
76170	-11.6		76.075	-0.0762237	0.006718084			
76265	-12.25		76.17	-0.113796	-0.009025936			
76361	-12.78		76.265	-0.1201725	-0.011113504			
76456	-13.22		76.361	-0.1253718	-0.011786126			
76552	-13.49		76.456	-0.1296882	-0.01211535			
76648	-13.68		76.552	-0.1323369	-0.012577205			
76743	-13.85		76.648	-0.1342008	-0.01279381			
76839	-13.97		76.743	-0.1358685	-0.012828292			
76935	-14.07		76.839	-0.1370457	-0.013099882			
77030	-14.19		76.935	-0.1380267	-0.013203475			
77126	-14.28		77.03	-0.1392039	-0.013168453			
77221	-14.38		77.126	-0.1400868	-0.013405954			
77317	-14.45		77.221	-0.1410678	-0.013354843			
77413	-14.51		77.317	-0.1417545	-0.01357547			
77508	-14.49		77.413	-0.1423431	-0.013636685			
77603	-14.42		77.508	-0.1421469	-0.013513275			
77700	-12.66		77.603	-0.1414602	-0.013471337			
77795	-12.73		77.7	-0.1241946	-0.012884258			
77890	-14.34		77.795	-0.1248813	-0.011831105			
77986	-16.2		77.89	-0.1406754	-0.012613943			
78082	-18.04		77.986	-0.158922	-0.014380675			
78177	-18.99		78.082	-0.1769724	-0.016122931			
78273	-17.21		78.177	-0.1862919	-0.017255054			
78368	-16.84		78.273	-0.1688301	-0.017045856			
78465	-17.14		78.368	-0.1652004	-0.015866449			
78560	-17.44		78.465	-0.1681434	-0.016167174			
78655	-17.74		78.56	-0.1710864	-0.016113415			
78751	-18.03		78.655	-0.1740294	-0.016393			
78846	-18.35		78.751	-0.1768743	-0.016843378			
78942	-18.69		78.846	-0.1800135	-0.01695217			
79038	-19.04		78.942	-0.1833489	-0.017441395			
79133	-19.35		79.038	-0.1867824	-0.017766302			
79228	-19.81		79.133	-0.1898235	-0.01788878			
79325	-21.97		79.228	-0.1943361	-0.018247581			
79420	-24.11		79.325	-0.2155257	-0.019878297			
79515	-22.89		79.42	-0.2365191	-0.021472128			
79611	-21.41		79.515	-0.2245509	-0.021900825			
79707	-19.92		79.611	-0.2100321	-0.020859984			
79802	-19.31		79.707	-0.1954152	-0.01946147			
79898	-19.3		79.802	-0.1894311	-0.018280199			
79993	-20.01		79.898	-0.189333	-0.018180677			
80089	-20.07		79.993	-0.1962981	-0.018317477			
80185	-20.14		80.089	-0.1968867	-0.01887287			
80280	-20.18		80.185	-0.1975734	-0.018934085			
80375	-20.23		80.28	-0.1979658	-0.018788112			
80472	-20.26		80.375	-0.1984563	-0.01883005			
80567	-20.3		80.472	-0.1987506	-0.019264535			
80663	-20.28		80.567	-0.199143	-0.018899946			
80758	-20.29		80.663	-0.1989468	-0.01910831			
80854	-20.32		80.758	-0.1990449	-0.018904606			
80950	-20.33		80.854	-0.1993392	-0.019122437			
81045	-20.34		80.95	-0.1994373	-0.019141272			
81140	-20.32		81.045	-0.1995354	-0.018951203			
81236	-20.34		81.14	-0.1993392	-0.018946543			
81332	-20.38		81.236	-0.1995354	-0.019145981			
81427	-20.41		81.332	-0.1999278	-0.019174234			
81523	-20.43		81.427	-0.2002221	-0.01900712			
81618	-20.44		81.523	-0.2004183	-0.019230739			
81714	-20.46		81.618	-0.2005164	-0.019044398			
