32441	0.13		time (s)	thrust (N)	Interval Sum			
32536	0.13		32.441	0.0012753		Impulse:	Stated impulse:	% diff:
32631	0.14		32.536	0.0012753	0.000121153	27.74973079	30	-7.500897366
32727	0.14		32.631	0.0013734	0.000125813			
32822	0.11		32.727	0.0013734	0.000131846			
32917	0.1		32.822	0.0010791	0.000116494			
33012	0.08		32.917	0.000981	9.78547E-05			
33107	0.06		33.012	0.0007848	8.38755E-05			
33203	0.03		33.107	0.0005886	6.52365E-05			
33298	0.03		33.203	0.0002943	4.23792E-05			
33393	0.03		33.298	0.0002943	2.79585E-05			
33488	0.02		33.393	0.0002943	2.79585E-05			
33584	-0.01		33.488	0.0001962	2.32987E-05			
33679	-0.03		33.584	-0.0000981	4.7088E-06			
33774	0		33.679	-0.0002943	-1.8639E-05			
33869	0.02		33.774	0	-1.39792E-05			
33965	0		33.869	0.0001962	9.3195E-06			
34060	-0.03		33.965	0	9.4176E-06			
34156	-0.05		34.06	-0.0002943	-1.39792E-05			
34251	-0.05		34.156	-0.0004905	-3.76704E-05			
34347	-0.06		34.251	-0.0004905	-4.65975E-05			
34442	-0.07		34.347	-0.0005886	-5.17968E-05			
34537	-0.08		34.442	-0.0006867	-6.05767E-05			
34632	-0.1		34.537	-0.0007848	-6.98962E-05			
34727	-0.11		34.632	-0.000981	-8.38755E-05			
34823	-0.09		34.727	-0.0010791	-9.78547E-05			
34918	-0.08		34.823	-0.0008829	-9.4176E-05			
35013	-0.08		34.918	-0.0007848	-7.92157E-05			
35108	-0.06		35.013	-0.0007848	-7.4556E-05			
35204	-0.03		35.108	-0.0005886	-6.52365E-05			
35299	-0.01		35.204	-0.0002943	-4.23792E-05			
35394	0		35.299	-0.0000981	-1.8639E-05			
35489	-0.01		35.394	0	-4.65975E-06			
35585	-0.01		35.489	-0.0000981	-4.65975E-06			
35680	0.01		35.585	-0.0000981	-9.4176E-06			
35775	0.02		35.68	0.0000981	0			
35870	0.03		35.775	0.0001962	1.39792E-05			
35965	0.03		35.87	0.0002943	2.32987E-05			
36061	0.05		35.965	0.0002943	2.79585E-05			
36156	0.05		36.061	0.0004905	3.76704E-05			
36251	0.06		36.156	0.0004905	4.65975E-05			
36346	0.08		36.251	0.0005886	5.12572E-05			
36442	0.09		36.346	0.0007848	6.52365E-05			
36537	0.08		36.442	0.0008829	8.00496E-05			
36632	0.06		36.537	0.0007848	7.92157E-05			
36727	0.03		36.632	0.0005886	6.52365E-05			
36823	0.03		36.727	0.0002943	4.19377E-05			
36918	0.01		36.823	0.0002943	2.82528E-05			
37013	-0.01		36.918	0.0000981	1.8639E-05			
37108	-0.01		37.013	-0.0000981	0			
37203	-0.01		37.108	-0.0000981	-9.3195E-06			
37299	-0.01		37.203	-0.0000981	-9.3195E-06			
37395	-0.03		37.299	-0.0000981	-9.4176E-06			
37490	-0.03		37.395	-0.0002943	-1.88352E-05			
37585	-0.02		37.49	-0.0002943	-2.79585E-05			
37681	0.03		37.585	-0.0001962	-2.32987E-05			
37776	0.53		37.681	0.0002943	4.7088E-06			
37871	2.03		37.776	0.0051993	0.000260946			
37966	11.45		37.871	0.0199143	0.001192896			
38062	58.99		37.966	0.1123245	0.006281343			
38157	175.23		38.062	0.5786919	0.033168787			
38252	286.85		38.157	1.7190063	0.109140664			
38347	371.03		38.252	2.8139985	0.215317728			
38443	448.06		38.347	3.6398043	0.306555633			
38538	521.8		38.443	4.3954686	0.385693099			
38633	592.99		38.538	5.118858	0.451930513			
38728	662.87		38.633	5.8172319	0.51946427			
38823	731.51		38.728	6.5027547	0.585199363			
38919	799.68		38.823	7.1761131	0.64974622			
39014	867.99		38.919	7.8448608	0.721006747			
39109	935.18		39.014	8.5149819	0.777092528			
39204	1001.22		39.109	9.1741158	0.840232141			
39300	1065.76		39.204	9.8219682	0.90231399			
39395	1128.11		39.3	10.4551056	0.973299542			
39490	1182		39.395	11.0667591	1.022288573			
39585	1197.15		39.49	11.59542	1.076453507			
39681	1197.15		39.585	11.7440415	1.108624421			
